player id,move from id,move from,move to,move to id,market value,transfer fee,source,target
97859,6622,FK Mladost Lucani,Vasas FC,5378,£213k,Free transfer,215,178
97846,602,Zalgiris Vilnius,Suduva Marijampole,8047,£106k,Free transfer,98,98
97836,5228,Atlantas Klaipeda,FK Lietava Jonava,31409,£64k,Free transfer,98,98
97835,27238,FK Slutsk,Hoverla Uzhhorod,6996,£255k,Free transfer,18,177
97830,6110,Korona Kielce,Dinamo Bukarest,312,£298k,Free transfer,135,140
97799,34559,La Hoya Lorca CF,UE Olot,38456,-,Free transfer,157,157
97739,16122,Arenas Club,Algeciras CF,3705,-,Free transfer,157,157
97739,30696,UD Socuéllamos,Arenas Club,16122,-,Free transfer,157,157
97672,13240,Sestao River,Marbella FC,12361,-,Free transfer,157,157
97616,1091,PAOK Thessaloniki,Östersunds FK,9614,£255k,Free transfer,56,147
97595,3649,Bangor City FC,Connah's Quay,22499,-,Free transfer,191,191
97562,13499,Astra Giurgiu,Osmanlispor FK,2944,£1.28m,£255k,140,174
97541,121,Dinamo Moscow,Zenit St. Petersburg,964,£5.10m,Free transfer,141,141
